"행정구역별(시군구)","연령별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"행정구역별(시군구)","연령별",내국인(15세이상)-계,내국인-미혼,내국인-배우자있음,내국인-사별,내국인-이혼,남자(15세이상)-계,남자-미혼,남자-배우자있음,남자-사별,남자-이혼,여자(15세이상)-계,여자-미혼,여자-배우자있음,여자-사별,여자-이혼
"광주광역시","35~39세",115054,29515,80585,514,4440,57474,19343,36626,115,1390,57580,10172,43959,399,3050
"광주광역시","40~44세",130625,19344,100561,1256,9464,65285,13693,48158,257,3177,65340,5651,52403,999,6287
"광주광역시","45~49세",129715,10777,103264,2731,12943,64873,7623,51750,445,5055,64842,3154,51514,2286,7888
"광주광역시","50~54세",116018,5320,92482,5183,13033,58299,3702,48463,793,5341,57719,1618,44019,4390,7692
"광주광역시","55~59세",103341,3045,81425,8193,10678,50903,1902,42611,1376,5014,52438,1143,38814,6817,5664
"광주광역시","60~64세",70132,1433,54167,9550,4982,33942,822,28994,1690,2436,36190,611,25173,7860,2546
"광주광역시","65~69세",56902,657,40956,12370,2919,26976,354,23314,1690,1618,29926,303,17642,10680,1301
"광주광역시","70~74세",44974,440,28934,14241,1359,20390,170,17627,1924,669,24584,270,11307,12317,690
"광주광역시","75~79세",31981,326,16788,14245,622,13086,87,10631,2052,316,18895,239,6157,12193,306
"광주광역시","80~84세",18916,142,7333,11262,179,6378,57,5053,1204,64,12538,85,2280,10058,115
"광주광역시","85세이상",12637,235,2601,9713,88,3030,36,2000,963,31,9607,199,601,8750,57
"대전광역시","합계",1294122,439274,706621,80787,67440,646294,250760,354471,12495,28568,647828,188514,352150,68292,38872
"대전광역시","15~19세",110048,109940,94,8,6,57691,57655,30,3,3,52357,52285,64,5,3
"대전광역시","20~24세",125216,123036,2079,34,67,67415,66738,650,16,11,57801,56298,1429,18,56
"대전광역시","25~29세",99436,83767,15191,39,439,53956,48750,5064,9,133,45480,35017,10127,30,306
"대전광역시","30~34세",109420,50085,57686,99,1550,56003,30667,24780,56,500,53417,19418,32906,43,1050
"대전광역시","35~39세",115608,28522,82627,312,4147,57593,18006,38056,58,1473,58015,10516,44571,254,2674
"대전광역시","40~44세",129663,19807,99917,829,9110,64465,13335,47499,183,3448,65198,6472,52418,646,5662
"대전광역시","45~49세",130917,11114,104915,2061,12827,65203,7658,51962,412,5171,65714,3456,52953,1649,7656
"대전광역시","50~54세",122604,5999,98454,4568,13583,60913,4089,50270,821,5733,61691,1910,48184,3747,7850
"대전광역시","55~59세",112083,3419,89167,7430,12067,55686,2202,46721,1188,5575,56397,1217,42446,6242,6492
"대전광역시","60~64세",76082,1768,58965,8656,6693,37471,902,31943,1324,3302,38611,866,27022,7332,3391
"대전광역시","65~69세",54760,816,39654,10540,3750,26560,395,22477,1810,1878,28200,421,17177,8730,1872
"대전광역시","70~74세",43850,474,28978,12470,1928,20000,192,16965,1978,865,23850,282,12013,10492,1063
"대전광역시","75~79세",32114,260,18198,12828,828,13222,100,10948,1848,326,18892,160,7250,10980,502
"대전광역시","80~84세",19465,124,8134,10936,271,6776,40,5273,1372,91,12689,84,2861,9564,180
"대전광역시","85세이상",12856,143,2562,9977,174,3340,31,1833,1417,59,9516,112,729,8560,115
